case_id,holding_id,total_citations,internal_citations,external_citations,precedent_direction_score,predominantly_pro_ds_precedents,cites_gc_precedent,precedent_purpose_rate,avg_cited_pagerank,max_cited_pagerank,citing_case_pagerank,citing_case_in_degree,citing_case_authority
C-200/23,3,8,5,3,0.6416666666666667,1.0,1,0.7166666666666667,0.03039801723072962,0.0894259145658621,0.007106994024015165,2,0.021692195663995894
C-200/23,4,2,1,1,0.5,0.0,0,0.5,0.017939911070255398,0.017939911070255398,0.007106994024015165,2,0.021692195663995894
C-200/23,5,9,7,2,0.25476190476190474,0.0,0,0.6142857142857142,0.015404391317612188,0.03530205830399602,0.007106994024015165,2,0.021692195663995894
C-200/23,6,3,3,0,0.39999999999999997,0.0,0,0.6888888888888888,0.014796788327514592,0.018056056536676027,0.007106994024015165,2,0.021692195663995894
C-203/22,1,5,5,0,0.7,1.0,0,0.9,0.009312413242572348,0.017939911070255398,0.005361620540502952,0,-0.0
C-203/22,2,3,3,0,0.6666666666666666,1.0,0,0.6666666666666666,0.010999811502851486,0.017939911070255398,0.005361620540502952,0,-0.0
C-205/21,1,2,0,2,,,0,,,,0.005361620540502952,0,-0.0
C-205/21,2,5,0,5,,,0,,,,0.005361620540502952,0,-0.0
C-205/21,3,2,1,1,1.0,1.0,1,1.0,0.021281147496361688,0.021281147496361688,0.005361620540502952,0,-0.0
C-231/22,1,3,2,1,0.625,1.0,1,0.75,0.018153717987626737,0.02313723659639132,0.007224772333315114,3,0.011870820021174965
C-231/22,2,1,1,0,0.75,1.0,1,0.5,0.02313723659639132,0.02313723659639132,0.007224772333315114,3,0.011870820021174965
C-245/20,1,12,0,12,,,0,,,,0.009088951974547798,3,0.002709637464294748
C-247/23,1,3,1,2,1.0,1.0,0,1.0,0.009534042124429348,0.009534042124429348,0.005361620540502952,0,-0.0
C-247/23,2,2,1,1,0.5,0.0,1,1.0,0.00850212070158102,0.00850212070158102,0.005361620540502952,0,-0.0
C-252/21,1,4,1,3,0.8,1.0,1,0.4,0.04750151279707306,0.04750151279707306,0.023100926094618515,9,0.038233514084567134
C-252/21,2,0,0,0,,,0,,,,0.023100926094618515,9,0.038233514084567134
C-252/21,3,2,0,2,,,0,,,,0.023100926094618515,9,0.038233514084567134
C-252/21,4,3,3,0,0.8055555555555555,1.0,1,0.8333333333333334,0.051241149180808854,0.0894259145658621,0.023100926094618515,9,0.038233514084567134
C-252/21,5,3,2,1,0.375,0.0,1,0.75,0.050991186720517806,0.0894259145658621,0.023100926094618515,9,0.038233514084567134
C-252/21,6,0,0,0,,,0,,,,0.023100926094618515,9,0.038233514084567134
C-252/21,7,0,0,0,,,0,,,,0.023100926094618515,9,0.038233514084567134
C-252/21,8,0,0,0,,,0,,,,0.023100926094618515,9,0.038233514084567134
C-26/22 & C-64/22,1,2,2,0,0.9,1.0,1,1.0,0.06630161729712983,0.12140636894604184,0.005361620540502952,0,-0.0
C-26/22 & C-64/22,2,4,2,2,0.5625,1.0,1,0.875,0.01678758817136727,0.023100926094618515,0.005361620540502952,0,-0.0
C-26/22 & C-64/22,3,0,0,0,,,0,,,,0.005361620540502952,0,-0.0
C-26/22 & C-64/22,4,0,0,0,,,0,,,,0.005361620540502952,0,-0.0
C-268/21,1,3,2,1,0.16666666666666666,0.0,0,0.16666666666666666,0.009384464634886278,0.009679977295224757,0.007700667283815665,3,0.0019114418564952023
C-268/21,2,4,1,3,0.75,1.0,1,0.5,0.0894259145658621,0.0894259145658621,0.007700667283815665,3,0.0019114418564952023
C-272/19,1,1,0,1,,,0,,,,0.021804816888270184,2,0.0005296834274167899
C-300/21,1,4,1,3,0.75,1.0,1,0.5,0.0894259145658621,0.0894259145658621,0.03530205830399602,11,0.2333731221942527
C-300/21,2,2,2,0,0.9,1.0,1,1.0,0.07396856152102406,0.12140636894604184,0.03530205830399602,11,0.2333731221942527
C-300/21,3,3,0,3,,,0,,,,0.03530205830399602,11,0.2333731221942527
C-306/21,1,2,1,1,0.75,1.0,1,0.5,0.0894259145658621,0.0894259145658621,0.009321729414019961,2,0.001286802599546419
C-306/21,2,0,0,0,,,0,,,,0.009321729414019961,2,0.001286802599546419
